dependency_id,hazard_node_id,affected_system,system_interface,dependency_type,dependency_strength,affected_function,evidence_basis,source_id,confidence,quantity_status,notes
HZD-001,HZ-001,energy,heat → cooling demand,thermal_dependency,strong,Hot conditions can increase cooling demand and thermal stress on infrastructure.,supported_system_dependency,d9_nca_energy,moderate,not_quantified,No local demand or outage probability.
HZD-002,HZ-001,information_sensors,heat → forecast/warning,monitoring_dependency,moderate,Temperature observations and forecasts support warning decisions.,documented_observation_interface,b9_nws_points,moderate,not_quantified,Warning capacity is not hazard absence.
HZD-003,HZ-001,exposure_context,heat → receptor context,thermal_dependency,moderate,Developed-system and receptor interfaces coincide with heat conditions.,physically_plausible_system_pathway,d9_nca_midwest,limited,not_quantified,No individual exposure or health outcome.
HZD-004,HZ-004,water,heavy precipitation → runoff,hydrologic_dependency,strong,Precipitation can enter drainage and tributary pathways.,physically_plausible_system_pathway,b9_usgs_dv,moderate,not_quantified,USGS supports one river observation; the precipitation-to-runoff relationship is not quantified basin-wide.
HZD-005,HZ-004,biogeochemical,runoff → nutrient mobilization,water_quality_dependency,strong,Runoff and event connectivity can mobilize nutrients and sediment.,documented_mechanism_plus_plausible_pathway,d9_pnas_hab,moderate,not_quantified,No future load or bloom magnitude.
HZD-006,HZ-008,water,stormwater → receiving system,infrastructure_dependency,moderate,Urban drainage burden can connect intense rain to receiving waters.,physically_plausible_system_pathway,d9_nca_midwest,limited,not_quantified,No outfall inventory or overflow count.
HZD-007,HZ-006,freight,flood → access,transport_dependency,moderate,"Flooded crossings, roads, and interfaces can disrupt access.",physically_plausible_system_pathway,d9_nca_midwest,limited,not_quantified,No route-level disruption probability.
HZD-008,HZ-006,water,high-flow observation → generalized source-water/treatment context,hydrologic_dependency,unknown,No direct treatment or intake operating relationship is established by the gauge record.,unsupported_unknown_interface,b9_usgs_dv,unknown,not_quantified,USGS daily flow supports one gauge observation only; no treatment or intake operating evidence is included.
HZD-009,HZ-009,agriculture,drought → soil/crop water context,agricultural_dependency,moderate,Drought assessment and soil-water stress can affect agricultural operations.,physically_plausible_system_pathway,b9_usdm_area,moderate,not_quantified,No yield or farm-level stress estimate.
HZD-010,HZ-009,ecology,drought → ecological water context,ecological_dependency,moderate,"Low-water conditions can alter aquatic, wetland, and riparian context.",physically_plausible_system_pathway,d9_nca_midwest,limited,not_quantified,"No population, abundance, or biodiversity score."
HZD-011,HZ-010,water,low flow → receiving system,hydrologic_dependency,moderate,One-gauge low-flow observation provides generalized receiving-water context; basin-wide dilution or transport effects are not established.,supported_system_dependency,b9_usgs_dv,moderate,not_quantified,One gauge does not describe the entire watershed.
HZD-012,HZ-012,freight,lake level → navigation/access,transport_dependency,moderate,"Lake-level variability can affect draft, dock access, and navigation context as a system inference.",physically_plausible_system_pathway,d9_epa_great_lakes,limited,not_quantified,"EPA supports observed lake-level variability, not navigation operations; no cargo-loss or route probability."
HZD-013,HZ-013,coastal,lake-level screening → generalized shoreline context,coastal_dependency,moderate,NOAA Lake Level Viewer supplies calm-day lake-level screening context for generalized shoreline planning; wind-driven waves and seiche are excluded.,documented_product_interface,d9_noaa_llv,moderate,not_quantified,"Not direct evidence of port burden, wind/wave effects, local inundation, or damage."
HZD-014,HZ-014,freight,wind setup/seiche → shoreline,coastal_dependency,moderate,Wind-driven lake-level displacement can interact with high background levels as a physical inference.,physically_plausible_system_pathway,d9_noaa_seiche,limited,not_quantified,"NOAA supports the seiche mechanism; no local shoreline effect, joint probability, or amplitude recurrence is established."
HZD-015,HZ-015,ecology,lake-wide ice-cover monitoring → local coastal ecology context,seasonal_dependency,unknown,No local coastal ecological effect is established by lake-wide ice observations.,unsupported_unknown_interface,d9_glerl_ice,unknown,not_quantified,"Lake-wide ice cover is regional seasonal context; local shoreline ice, wave, and ecological effects remain unknown."
HZD-016,HZ-016,energy,severe storm → power interface,energy_dependency,moderate,Convective wind and lightning can coincide with power-system disruption.,supported_system_dependency,d9_nca_energy,moderate,not_quantified,No outage probability or restoration estimate.
HZD-017,HZ-016,information_sensors,severe storm → communications,monitoring_dependency,moderate,"Storm conditions can burden warning, sensor, and communication continuity.",physically_plausible_system_pathway,d9_nca_midwest,limited,not_quantified,No cyber or communications-failure model.
HZD-018,HZ-018,freight,winter forecast → transport planning/maintenance input,seasonal_dependency,moderate,Winter forecasts can inform transport planning and maintenance as a physical inference.,physically_plausible_system_pathway,d9_nws_cle_winter,limited,not_quantified,"NWS products support winter hazard and forecast context, not road closures, freight delays, or their probabilities."
HZD-019,HZ-018,water,winter forecast → generalized seasonal infrastructure planning,infrastructure_dependency,limited,Winter forecasts can inform generalized seasonal infrastructure planning as a physical inference.,physically_plausible_system_pathway,d9_nws_cle_winter,limited,not_quantified,"NWS products support winter hazard context, not water-infrastructure failure or operating effects; no failure rate."
HZD-020,HZ-023,information_sensors,frequency products → planning,monitoring_dependency,moderate,Frequency products provide design/planning context distinct from observations.,documented_product_interface,b9_noaa_atlas14,moderate,not_quantified,No numeric weighting or risk score.
HZD-021,HZ-002,biogeochemical,climate variability → nutrient timing,seasonal_dependency,moderate,Temperature and precipitation timing can alter seasonal material transport context.,documented_mechanism_plus_plausible_pathway,d9_pnas_hab,limited,not_quantified,No future load or bloom model.
HZD-022,HZ-011,water_quality,lake-level observation → generalized intake/source-water context,water_quality_dependency,unknown,No direct lake-level effect on Toledo treatment or intake operations is established in this package.,unsupported_unknown_interface,d9_epa_great_lakes,unknown,not_quantified,EPA supports observed Great Lakes lake-level variability only; treatment/intake operating effects are unsupported here and the Toledo intake-coordinate discrepancy remains unresolved.
HZD-023,HZ-019,information_sensors,warning → decision-information interface,warning_capacity,moderate,Warnings provide a public decision-information interface; response effectiveness is not established.,documented_control_interface,b9_nws_points,moderate,not_quantified,No emergency-management system or response outcome is modeled.
HZD-024,HZ-022,information_sensors,drought assessment → situational-awareness/management input,monitoring_dependency,moderate,Drought assessment supports situational awareness and can inform management input; management outcomes are not established.,documented_control_interface,b9_drought_gov,moderate,not_quantified,Unknown local condition is not treated as low and no management outcome is inferred.
